Device's mac address: 03:80:E1:04:00:21	SW version: V2.1.0
Patient:liad | Left Sensor - respiration rates and peak locations
starting time: 31-Mar-2020	16:46:39.268	
TIME	RR	LOCATION	HEIGHT	Low Bluetooth
3.72	--	93	39.37
8.52	--	213	101.52
12.88	--	322	102.44
17.64	--	441	102.20
22.52	13	563	101.66
27.36	13	684	97.83
33.32	12	833	96.79
38.6	12	965	94.14
44.64	11	1116	92.32
50.96	11	1274	93.56
57.96	10	1449	92.05
64.96	10	1624	90.58
71.48	9	1787	89.38
76.56	9	1914	91.57
85.48	9	2137	92.29
91.68	9	2292	88.99
98.0	9	2450	89.97
105.16	9	2629	89.81
112.24	9	2806	91.57
118.4	9	2960	88.50
126.24	9	3156	90.28
133.92	9	3348	88.13
148.64	7	3716	87.08
152.4	8	3810	1.48
155.56	8	3889	6.12
157.96	9	3949	96.82
175.28	7	4382	87.89
181.08	8	4527	88.37
187.64	9	4691	87.36
193.8	9	4845	86.57
199.68	8	4992	88.61
206.08	7	5152	93.36
213.76	9	5344	88.59
221.4	9	5535	87.25
